title,authors,categories,publishedDate
The PC and Gadget Help Desk,C. Lynch,Social Science,11/13/2014
Android Tips and Tricks,Melissa Ferguson,Fiction,4/1/2019
Teach Yourself VISUALLY Android Phones and Tablets,"Zigurd Mednieks ,  Laird Dornin ,  G. Blake Meike ,  Masumi Nakamura",Computers,7/29/2011
"The Healthy PC: Preventive Care, Home Remedies, and Green Computing, 2nd Edition",Gokhan Kurt,Computers,9/25/2015
Bullying in North American Schools,David F. Dufty,Technology & Engineering,6/5/2012
Criminology Goes to the Movies,Jessica Keyes,Business & Economics,4/19/2016
Shades of Gray,"Jack Nutting ,  Fredrik Olsson ,  David Mark ,  Jeff LaMarche ,  Kim Topley",Computers,11/17/2014
Tyler Perry,"Kim Topley ,  Fredrik Olsson ,  Jack Nutting ,  David Mark ,  Jeff LaMarche",Computers,11/22/2014
Costume Design in the Movies,"Molly Maskrey ,  Kim Topley ,  David Mark ,  Fredrik Olsson ,  JEFF LAMARCHE",Computers,11/17/2016
Godzilla: King of the Monsters - the Official Movie Novelisation,Molly K. Maskrey,Computers,10/24/2017
"Billy Wilder, American Film Realist","David Mark ,  Jeff LaMarche ,  Jack Nutting",Computers,8/5/2011
A Divided World,"David Mark ,  Dylan Bruzenak ,  Joachim Bondo ,  Owen Goss ,  Peter Honeder ,  Ray Kiddy ,  Steve Finkelstein ,  Tom Harrington ,  Jonathan Saggau ,  Noel Llopis ,  Ben Smith ,  Joe Pezzillo ,  Florian Pflug ,  Roderick Smith",Computers,4/30/2010
Quantum Roots,Scott Wittenburg,Fiction,2/1/2012
"Casenote Legal Briefs for Contracts, Keyed to Crandall and Whaley",Rene Djurup,Computers,1/1/2013
Quantum Mechanics with Applications to Nanotechnology and Information Science,Steve Schwartz,Computers,8/12/2014
Queer Ecologies,Steve Schwartz,Computers,8/7/2013
"Nimble, Focused, Feisty","Eric Butow ,  Lonzell Watson",Computers,10/1/2014
Light Absorption of Organic Colorants,Guy Hart-Davis,Computers,3/28/2011
The History of the Renaissance World: From the Rediscovery of Aristotle to the Conquest of Constantinople,Mark Edward Soper,Computers,10/4/2014
Beyond Our Means,Guy Hart-Davis,Computers,12/15/2014
Adobe Premiere Pro CS4 Classroom in a Book,"Paul McFedries ,  Guy Hart-Davis",Computers,6/17/2013
Adobe After Effects CC Classroom in a Book (2014 release),Guy Hart-Davis,Computers,11/3/2011
Adobe Kroger,"Dorothy L. Espelage ,  Susan M. Swearer",Education,10/18/2010
Adobe ColdFusion Anthology,"Nicole Rafter ,  Michelle Brown",Law,9/1/2011
Race and Ethnicity in America: From Pre-contact to the Present 4 volumes],Daniel Veirs,Fiction,7/23/2014
Arid Land Geom: Geom Crit Conc,Janice D. Hamlet,Performing Arts,10/15/2019
